head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,left_1,left_2,left_3,left_4,left_5,left_6,left_7,left_8,left_9,left_10,left_11,left_12,left_13,left_14,left_15,left_16,left_17,left_18,left_19,left_20,left_21,right_1,right_2,right_3,right_4,right_5,right_6,right_7,right_8,right_9,right_10,right_11,right_12,right_13,right_14,right_15,right_16,right_17,right_18,right_19,right_20,right_21,frame,gesture,speaker
-216.6294446268057,-78.86366207979007,-62.331491080526646,133.99713685793392,380.4815660103683,-88.27719598888936,110.69969202651528,356.3902060878743,239.54677278142978,230.3132453425242,-252.391780491034,-252.63692330194593,-252.29197279275286,-248.00614874490083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,jer
-212.54818815621,-74.81919412521869,-59.01803938196798,131.22168021892242,323.5719508597614,-83.50969840736023,115.93298663085935,361.65453919871794,245.22215165529082,239.72182891466008,-248.67472872599006,-246.41080164696282,-248.62726668435602,-243.7172203501459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,912.2098959080967,882.4443253583676,858.9922362996338,843.3398953071666,-275.2004966110436,906.2215929034335,-275.2004966110436,-275.2004966110436,-275.2004966110436,-275.2004966110436,-275.2004966110436,-275.2004966110436,-275.2004966110436,-275.2004966110436,-275.2004966110436,-275.2004966110436,-275.20049661104366,-275.20049661104366,-275.20049661104366,-275.20049661104366,-275.20049661104366,1.0,1,jer
-193.88418590270325,-61.024350895719174,-69.33620227779076,116.50356633277812,90.55760210860115,-46.176212520195904,160.0934582780641,413.7478467492169,242.97197001619887,263.91871074163487,-234.74554909502277,-224.4046214949605,-242.81941918883072,-215.40261285127096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-234.68377085294816,984.9965662199243,989.1173672863894,1002.2616498093605,1013.2485211844564,-234.68377085294887,-234.68377085294887,-234.68377085294887,-234.68377085294887,-234.68377085294887,-234.68377085294887,-234.68377085294887,-234.68377085294887,-234.68377085294887,-234.68377085294887,-234.68377085294887,-234.68377085294887,-234.68377085294887,-234.68377085294887,-234.68377085294887,-234.68377085294887,2.0,1,jer
-176.52448222619395,-47.55511666157679,-81.92539050186527,81.54623907461512,-86.80088774236866,-15.679804099383436,188.668000945953,447.1428044757472,243.6900637017206,285.21581242072403,-220.884770305956,-201.04135432908038,-227.93044219948086,-187.92067255285454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,646.5999556827194,681.3440886671558,713.2150178151333,-510.17450124932503,-510.17450124932503,-510.17450124932503,692.8769124694766,706.4637074118789,722.7408076387276,670.3992761068707,-510.17450124932503,-510.17450124932503,-510.17450124932503,649.2426309353236,-510.17450124932503,-510.17450124932503,-510.17450124932503,639.2116182646131,-510.17450124932503,-510.17450124932503,-510.17450124932503,3.0,1,jer
-176.1851811945109,-45.99506087675602,-72.86457713158762,82.77630782703297,-117.51055589245318,-16.27885081452995,192.32322916470912,446.80970780590707,248.64346857912062,285.2706127367168,-219.79311443380578,-198.11744314922353,-224.65968299373404,-184.41885962688588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-63.11725538860723,-49.72778598373854,-12.139044198480576,-3.8185056374215747,-1.5883254169035215,7.486168365182781,37.40301551647957,60.41031133660281,83.03643550533222,1.168411273262102,22.54570919388051,3.244818593766059,-13.558419510126377,-8.247180635893804,11.662280366994208,-6.933116618177509,-19.43815526280829,-18.968448481005655,-8.198719029809226,-8.62835228728763,-12.593841701240038,4.0,1,jer
-179.1576847196393,-49.35968767254429,-78.67983866462181,91.24746473824777,-86.55532591656457,-17.877787441534604,188.24868903280563,440.43514583399116,247.0425892274584,280.71029722951357,-220.55652878095526,-201.48654048246004,-226.86894784856628,-187.14184453513047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,869.863651668371,899.73364793988,-288.3775737369629,-288.3775737369629,-288.3775737369629,-288.3775737369629,-288.3775737369629,936.0663843799788,954.7916043034018,-288.3775737369629,-288.3775737369629,-288.3775737369629,-288.3775737369629,-288.3775737369629,-288.3775737369629,-288.3775737369629,-288.3775737369629,-288.3775737369629,-288.3775737369629,-288.3775737369629,953.5858914997766,5.0,1,jer
-193.7754314743207,-59.10808817143749,-76.60922379550189,115.44650644286236,48.182478690945004,-39.62264110807319,165.18391651353792,418.4573687669344,245.76383201805007,272.10099769997845,-235.10258405743167,-218.42267966135373,-236.01718670440357,-206.47726515978573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1168.7421771477193,-58.437108857385965,-58.437108857385965,-58.437108857385965,-58.437108857385965,-58.437108857385965,-58.437108857385965,-58.437108857385965,-58.437108857385965,-58.437108857385965,-58.437108857385965,-58.437108857385965,-58.437108857385965,-58.437108857385965,-58.437108857385965,-58.437108857385965,-58.437108857385965,-58.437108857385965,-58.437108857385965,-58.437108857385965,-58.437108857385965,6.0,1,jer
-208.44024453525,-67.84231331900577,-61.09380116789095,118.97500641539887,253.15650729410353,-72.59197678635249,125.56265704163721,376.4337323353231,248.06478694447546,246.4646666540673,-245.60414150387,-238.47526164622843,-241.77327976841107,-232.83633795799636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.5495669539644,90.43037670959707,58.823821298564255,12.4604192873117,-24.84810132882953,55.066949069836696,-0.7247729106615185,-29.32856099632463,-50.31661158720556,34.180088294166104,-16.080727424937347,-40.4449839153223,-54.711943393902196,20.9322547227788,-17.89330989940079,-33.97285185244415,-50.99361960697089,12.694119604439416,-12.86032173685179,-24.225703705272327,-32.736087582535696,7.0,1,jer
-221.94678711185642,-78.62066565320778,-58.41500275816942,137.49057695053,405.5383242002063,-95.62907301518766,97.745027270476,347.48958815788075,244.53877784361325,228.18143730375465,-254.4131585419958,-254.10525316675384,-249.1561757536033,-248.69761572568655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1,jer
-220.777922488563,-78.45035025750565,-67.74176705002637,133.98712415082866,376.0054718783916,-87.99882382956018,109.7070878382163,362.21410972942243,239.79463497825805,237.91129224720146,-255.58211477162575,-250.92110972210048,-250.61328343811266,-247.5343492648242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1,jer
